Unnamed: 0,acid,gufi,isArrival,isDeparture,aircraft_address,aircraft_engine_class,aircraft_registration,aircraft_type,altitude_assigned,arrival_aerodrome_icao_name,arrival_fix_source_data,arrival_fix_actual_time,arrival_runway_actual_time,arrival_runway_assigned,arrival_spot_decision_tree,arrival_spot_position_derived,arrival_stand_actual_time,arrival_stand_airline,arrival_stand_scheduled_time,beacon_code,cancelled,cancelled_time,carrier,departure_aerodrome_icao_name,departure_fix_actual,departure_fix_actual_time,departure_fix_source_data,departure_movement_area_actual_time,departure_pushback_clearance_issued_time,departure_runway_actual,departure_runway_actual_time,departure_runway_position_derived,departure_stand_actual_time,departure_stand_airline,departure_stand_initial_time,eobt_final,eobt_num_updates,time_at_initial_eobt,time_at_final_eobt,ltime_final,ltime_num_updates,time_at_initial_ltime,time_at_final_ltime,edct_final,edct_num_updates,time_at_initial_edct,time_at_final_edct,apreq_final,apreq_num_updates,apreq_final_source,surface_flight_state_at_initial_apreq,surface_flight_state_at_final_apreq,time_at_initial_apreq,time_at_final_apreq,tmat,tobt,gate_conflict_values_present,ground_stop_restriction_ids_present,last_update_source,long_on_board_duration_value,fix_closure_ids_present,mit_restriction_ids_present,position_altitude,position_heading,position_latitude,position_longitude,position_source,position_speed,position_timestamp,priority_status,record_timestamp,route_text,runway_operational_necessity,surface_flight_state,last_timestamp,last_controller_clearance,first_position_update,first_position_update_source,surface_state_at_first_position,state_scheduled,state_pushback,state_ramp_taxi_out,state_taxi_out,state_in_queue,state_off,state_terminal_airspace,state_enroute,state_on_final,state_taxi_in,state_ramp_taxi_in,state_in_gate,state_unknown,state_suspended,state_cancelled,state_return_to_gate,pushback_clearance_undone,clear_cleared_to_gate,clear_gate_pushback_approved,pushback_approved_to_first_surveillance,clear_hold,clear_gate_pushback_hold,hold_time_minus_pushback_approved,clear_not_set,clear_proceed_to_spot,clear_return_to_gate,first_fix_closure_receipt_time,first_fix_closure_reference_time,count_distinct_fix_closure_ids,first_mit_restriction_receipt_time,first_mit_restriction_reference_time,count_distinct_mit_restriction_ids,eobt_minus_hold_time,sobt_minus_hold_time,iobt_minus_aobt,eobt_at_pushback_clearance,ltime_at_pushback_clearance,eobt_acc_at_5,eobt_acc_at_10,eobt_acc_at_20,eobt_acc_at_30,ltime_acc_at_5,ltime_acc_at_10,ltime_acc_at_20,ltime_acc_at_30,eobt_acc_at_5_abs,eobt_acc_at_10_abs,eobt_acc_at_20_abs,eobt_acc_at_30_abs,ltime_acc_at_5_abs,ltime_acc_at_10_abs,ltime_acc_at_20_abs,ltime_acc_at_30_abs,Tactical_Aircraft_Type,Tactical_Weight_Class,Tactical_Controlled_Flight,Tactical_Exempt_Flight,Held_While_Metering_On_Scheduled_Runway,Held_With_Non_Zero_Advisory,Held_With_Non_Zero_(TOBT-UOBT),Return_To_Gate_After_Hold,Total_Realized_Hold,Realized_Hold_BEFORE_UOBT,Realized_Hold_AFTER_UOBT,Tactical_Schedule_Priroity_String,MSS_Transition_String,Number_Times_In_PUSHBACK_UNCERTAIN,Timestamp_When_Enter_PUSHBACK_UNCERTAIN,TTOT_When_Enter_PUSHBACK_UNCERTAIN,UTOT_When_Enter_PUSHBACK_UNCERTAIN,TTOT_When_Enter_PUSHBACK_UNCERTAIN_Versus_Actual_OFF,Runway_Assigned_When_Enter_PUSHBACK_UNCERTAIN,Runway(s)_Being_Metered_When_Enter_PUSHBACK_UNCERTAIN,Metering_Mode_When_Enter_PUSHBACK_UNCERTAIN,Timestamp_When_Exit_PUSHBACK_UNCERTAIN,TTOT_When_Exit_PUSHBACK_UNCERTAIN,UTOT_When_Exit_PUSHBACK_UNCERTAIN,TTOT_When_Exit_PUSHBACK_UNCERTAIN_Versus_Actual_OFF,Runway_Assigned_When_Exit_PUSHBACK_UNCERTAIN,Runway(s)_Being_Metered_When_Exit_PUSHBACK_UNCERTAIN,Metering_Mode_When_Exit_PUSHBACK_UNCERTAIN,Number_Times_In_PUSHBACK_PLANNED,Timestamp_When_Enter_PUSHBACK_PLANNED,TTOT_When_Enter_PUSHBACK_PLANNED,UTOT_When_Enter_PUSHBACK_PLANNED,Total_Gate_Hold_When_Enter_PUSHBACK_PLANNED,Passback_Hold_When_Enter_PUSHBACK_PLANNED,TTOT_When_Enter_PUSHBACK_PLANNED_Versus_Actual_OFF,Runway_Assigned_When_Enter_PUSHBACK_PLANNED,Runway(s)_Being_Metered_When_Enter_PUSHBACK_PLANNED,Metering_Mode_When_Enter_PUSHBACK_PLANNED,Timestamp_When_Exit_PUSHBACK_PLANNED,TTOT_When_Exit_PUSHBACK_PLANNED,UTOT_When_Exit_PUSHBACK_PLANNED,Total_Gate_Hold_When_Exit_PUSHBACK_PLANNED,Passback_Hold_When_Exit_PUSHBACK_PLANNED,TTOT_When_Exit_PUSHBACK_PLANNED_Versus_Actual_OFF,Runway_Assigned_When_Exit_PUSHBACK_PLANNED,Runway(s)_Being_Metered_When_Exit_PUSHBACK_PLANNED,Metering_Mode_When_Exit_PUSHBACK_PLANNED,Timestamp_At_Ready,TTOT_At_Ready,UTOT_At_Ready,Total_Gate_Hold_At_Ready,Passback_Gate_Hold_At_Ready,TTOT_At_Ready_Versus_Actual_Off,Runway_Assigned_At_Ready,Runway(s)_Being_Metered_At_Ready,Metering_Mode_At_Ready,Number_Times_Held,Timestamp_When_Put_On_Hold,TTOT_When_Put_On_Hold,UTOT_When_Put_On_Hold,Total_Gate_Hold_When_Put_On_Hold,Passback_Hold_When_Put_On_Hold,TTOT_When_Put_On_Hold_Versus_Actual_OFF,Runway_Assigned_When_Put_On_Hold,Runway(s)_Being_Metered_When_Put_On_Hold,Metering_Mode_When_Put_On_Hold,Fuel_Flow_Reduced_in_KG,CO_Emissions_Reduced_in_grams,CO2_Emissions_Reduced_in_KG,HC_Emissions_Reduced_in_grams,Nox_Emissions_Reduced_in_grams,Track_Hit_Out_Time,Unimpeded_Taxi_Time,Total_Taxi_Time,Excess_Taxi_Time
49.0,AAL1670,AAL1670.CLT.JFK.171205.0915.0604.AIRLINE,False,True,10505150.0,JET,N118US,A320,11000.0,KJFK,CAMRN,,,4R,,,2017-12-10 16:38:00,33,2017-12-10 16:51:00,1740.0,,,AAL,KCLT,,2017-12-10 15:29:49,BARMY,2017-12-10 15:05:07,,,2017-12-10 15:18:58,36R,2017-12-10 14:59:16,D5,2017-12-10 14:50:00,2017-12-10 14:53:15,7.0,2017-12-10 13:37:17,2017-12-10 14:49:45,2017-12-10 14:52:00,1.0,2017-12-10 13:35:41,2017-12-10 14:53:10,,,,,,,IDAC,,,,,2017-12-10 15:09:33,2017-12-10 15:04:00,False,False,FMC,1152789.0,False,False,300.0,300.640717487,40.6475,-73.7680555556,TFM,127.0,2017-12-10 16:33:19,UNSET,2017-12-10 18:13:04,KCLT./.SBY069019..HOGGS.CAMRN4.KJFK/1629,,OFF,2017-12-10 18:13:02,PROCEED_TO_SPOT,2017-12-10 15:04:23,ASDEX,RAMP_TAXI_OUT,2017-12-10 10:21:34,2017-12-10 14:59:16,2017-12-10 15:03:29,2017-12-10 15:05:07,2017-12-10 15:07:38,2017-12-10 15:18:58,,,,,,,,,,,False,,2017-12-10 14:59:15,-308.0,,2017-12-10 14:55:46,-209.0,,2017-12-10 15:03:29,,,,,,,,-151.0,-346.0,-556.0,2017-12-10 14:53:15,2017-12-10 14:52:00,-361.0,-586.0,-854.0,-603.0,-436.0,-556.0,-556.0,-556.0,361.0,586.0,854.0,603.0,436.0,556.0,556.0,556.0,A320,D,,,True,True,True,False,220.140000105,0.0,220.140000105,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,1.0,,,,,,,,2017-12-10 14:35:24.801000+00:00,2017-12-10 15:28:27+00:00,2017-12-10 14:59:42.119000+00:00,569.0,36R,"36C,36R",NO_METERING,1.0,2017-12-10 14:35:34.826000+00:00,2017-12-10 15:24:41+00:00,2017-12-10 14:55:31.119000+00:00,1597.05500007,1029.88100004,343.0,36R,"36C,36R",NO_METERING,2017-12-10 14:55:44.796000+00:00,2017-12-10 15:28:30+00:00,2017-12-10 15:05:13.846000+00:00,496.085000038,556.154000044,572.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:55:44.796000+00:00,2017-12-10 15:28:30+00:00,2017-12-10 15:05:13.846000+00:00,496.085000038,556.154000044,572.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:55:54.845000+00:00,2017-12-10 15:28:30+00:00,2017-12-10 15:05:13.846000+00:00,496.085000038,556.154000044,636.0,36R,36R,TIME_BASED_METERING,22.2561540106,391.708310587,68.5489543527,31.1586156148,89.0246160424,False,10.485316666,19.7,9.21468333403
209.0,AAL1897,AAL1897.CLT.EWR.171205.0915.0428.AIRLINE,False,True,11100554.0,JET,N703UW,A319,37000.0,KEWR,ARD,,,22L,,,2017-12-10 16:54:00,34,2017-12-10 17:01:00,1762.0,,,AAL,KCLT,,2017-12-10 15:35:48,KILNS,2017-12-10 15:15:16,,,2017-12-10 15:26:46,36R,2017-12-10 15:03:43,C15,2017-12-10 15:00:00,2017-12-10 14:59:11,8.0,2017-12-10 09:34:03,2017-12-10 14:56:39,2017-12-10 14:56:00,1.0,2017-12-10 09:34:00,2017-12-10 14:56:19,,,,,,,IDAC,,,,,2017-12-10 15:10:37,2017-12-10 15:03:35,False,False,AIRLINE,1355017.0,False,False,400.0,199.600006104,40.6897222222,-74.1672222222,TMA,135.5,2017-12-10 16:43:15,UNSET,2017-12-10 18:55:19,KCLT.KILNS3.AUDII..FAK.PHLBO3.KEWR/1634,,OFF,2017-12-10 18:55:01,PROCEED_TO_SPOT,2017-12-10 15:05:23,FLIGHTHUB_POSITION,PUSHBACK,2017-12-10 10:21:36,2017-12-10 15:03:43,2017-12-10 15:10:17,2017-12-10 15:15:16,2017-12-10 15:18:58,2017-12-10 15:26:46,,,,,,,,,,,False,,2017-12-10 15:03:43,-100.0,,2017-12-10 14:56:31,-432.0,,2017-12-10 15:10:15,,,,,,,,160.0,209.0,-223.0,2017-12-10 14:59:11,2017-12-10 14:56:00,-272.0,-305.0,-423.0,-223.0,-463.0,-223.0,-223.0,-223.0,272.0,305.0,423.0,223.0,463.0,223.0,223.0,223.0,A319,D,,,True,True,True,False,439.560000181,97.7190001011,341.84100008,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,1.0,,,,,,,,2017-12-10 14:46:14.855000+00:00,2017-12-10 15:40:40+00:00,2017-12-10 15:08:16.990000+00:00,834.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:46:24.900000+00:00,2017-12-10 15:40:40+00:00,2017-12-10 15:08:16.990000+00:00,1696.1099999,1103.00999999,834.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:56:25.281000+00:00,2017-12-10 15:29:34+00:00,2017-12-10 15:10:01.990000+00:00,429.729000092,332.00999999,168.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:56:25.281000+00:00,2017-12-10 15:29:34+00:00,2017-12-10 15:10:01.990000+00:00,429.729000092,332.00999999,168.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:56:35.433000+00:00,2017-12-10 15:29:34+00:00,2017-12-10 15:10:01.990000+00:00,429.729000092,332.00999999,297.0,36R,36R,TIME_BASED_METERING,43.0768800178,796.922280329,132.676790455,65.9076264272,184.799815276,False,11.9831666668,23.05,11.0668333332
217.0,AAL1910,AAL1910.CLT.LGA.171205.0915.0806.AIRLINE,False,True,11327051.0,JET,N926UW,A321,27000.0,KLGA,RBV,,,04,,,2017-12-10 16:59:00,D8,2017-12-10 17:03:00,2067.0,,,AAL,KCLT,,2017-12-10 15:46:36,BARMY,2017-12-10 15:26:36,,,2017-12-10 15:35:48,36R,2017-12-10 15:14:31,C12,2017-12-10 15:05:00,2017-12-10 15:23:01,11.0,2017-12-10 10:15:22,2017-12-10 15:20:04,2017-12-10 15:20:00,5.0,2017-12-10 10:14:41,2017-12-10 15:20:43,,,,,,,IDAC,,,,,2017-12-10 15:19:34,2017-12-10 15:14:15,False,False,AIRLINE,1250902.0,False,False,1000.0,208.762164888,40.7944444444,-73.8627777778,TFM,158.0,2017-12-10 16:52:30,UNSET,2017-12-10 18:55:19,KCLT./.RIC160015..PXT.KORRY4.KLGA/1648,,OFF,2017-12-10 18:55:01,PROCEED_TO_SPOT,2017-12-10 15:25:15,ASDEX,RAMP_TAXI_OUT,2017-12-10 10:21:37,2017-12-10 15:14:31,2017-12-10 15:24:51,2017-12-10 15:26:36,2017-12-10 15:29:22,2017-12-10 15:35:48,,,,,,,,,,,False,,2017-12-10 15:14:31,-644.0,2017-12-10 15:24:47,2017-12-10 15:10:57,-214.0,,2017-12-10 15:24:51,,,,,,,,724.0,-357.0,-571.0,2017-12-10 15:23:01,2017-12-10 15:20:00,-471.0,-623.0,-653.0,-435.0,-571.0,-571.0,-571.0,-571.0,471.0,623.0,653.0,435.0,571.0,571.0,571.0,571.0,A321,D,,,True,True,True,False,219.83100009,0.0,219.83100009,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,1.0,,,,,,,,2017-12-10 14:53:34.807000+00:00,2017-12-10 15:37:34+00:00,2017-12-10 15:13:53.486000+00:00,106.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:53:44.793000+00:00,2017-12-10 15:35:47+00:00,2017-12-10 15:13:53.486000+00:00,1066.72099996,473.513999939,-1.0,36R,36R,TIME_BASED_METERING,2017-12-10 15:10:54.839000+00:00,2017-12-10 15:38:31+00:00,2017-12-10 15:20:10.302000+00:00,200.674999952,260.697999954,163.0,36R,36R,TIME_BASED_METERING,2017-12-10 15:10:54.839000+00:00,2017-12-10 15:38:31+00:00,2017-12-10 15:20:10.302000+00:00,200.674999952,260.697999954,163.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 15:11:04.687000+00:00,2017-12-10 15:38:31+00:00,2017-12-10 15:20:10.302000+00:00,200.674999952,260.697999954,163.0,36R,36R,TIME_BASED_METERING,25.2805650103,485.386848198,77.8641402318,88.4819775361,118.818655548,False,10.258100001,21.2833333333,11.0252333323
582.0,AWI4240,AWI4240.CLT.CAE.171205.0915.0403.AIRLINE,False,True,10809837.0,JET,N418AW,CRJ2,10000.0,KCAE,,,,,,,2017-12-10 15:52:00,4,2017-12-10 15:46:00,4154.0,,,AAL,KCLT,,2017-12-10 15:34:08,,2017-12-10 15:10:16,,,2017-12-10 15:22:49,36R,2017-12-10 15:00:04,E4,2017-12-10 14:50:00,2017-12-10 14:56:57,2.0,2017-12-10 10:28:04,2017-12-10 15:54:40,2017-12-10 15:37:00,4.0,2017-12-10 10:27:39,2017-12-10 15:54:40,,,,,,,,,,,,2017-12-10 15:12:46,2017-12-10 15:01:57,False,False,AIRLINE,1348305.0,False,False,500.0,286.115147905,33.9355555556,-81.1005555556,TFM,131.0,2017-12-10 15:49:04,UNSET,2017-12-10 17:55:24,KCLT.CLT2.BUCKL..KCAE/1538,,OFF,2017-12-10 17:55:01,PROCEED_TO_SPOT,2017-12-10 15:05:25,ASDEX,RAMP_TAXI_OUT,2017-12-10 10:21:37,2017-12-10 15:00:05,2017-12-10 15:03:31,2017-12-10 15:10:17,2017-12-10 15:13:29,2017-12-10 15:22:49,,,,,,,,,,,False,,2017-12-10 15:00:04,-321.0,,2017-12-10 14:55:15,-289.0,,2017-12-10 15:03:31,,,,,,,,2505.0,-315.0,-604.0,2017-12-10 15:37:00,2017-12-10 14:46:00,2216.0,2216.0,2216.0,2216.0,-604.0,-604.0,-604.0,-604.0,2216.0,2216.0,2216.0,2216.0,604.0,604.0,604.0,604.0,CRJ2,E,,,True,True,False,False,310.042000055,310.042000055,0.0,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,1.0,,,,,,,,2017-12-10 14:54:54.896000+00:00,2017-12-10 16:01:40+00:00,2017-12-10 15:52:45.808000+00:00,2331.0,36R,36R,TIME_BASED_METERING,,,,,,,,,,,,,,,,,,,,2017-12-10 14:54:54.896000+00:00,2017-12-10 15:42:28+00:00,2017-12-10 15:17:43+00:00,422.296000004,422.296000004,1179.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:55:04.730000+00:00,2017-12-10 15:42:28+00:00,2017-12-10 15:17:43+00:00,422.296000004,0.0,1827.0,36R,36R,TIME_BASED_METERING,15.1610538027,721.514550471,46.6960457123,71.1053423347,56.3991201461,False,15.7634666681,22.75,6.98653333187
727.0,JIA5058,JIA5058.CLT.MLB.171205.0915.0707.AIRLINE,False,True,10597576.0,JET,N209PS,CRJ2,30000.0,KMLB,,,,,,,2017-12-10 16:48:00,7,2017-12-10 16:30:00,3577.0,,,JIA,KCLT,,2017-12-10 15:33:18,ICONS,2017-12-10 15:09:53,,,2017-12-10 15:20:52,36R,2017-12-10 14:58:56,E2,2017-12-10 14:45:00,2017-12-10 14:49:07,8.0,2017-12-10 09:29:33,2017-12-10 14:49:46,2017-12-10 14:46:00,1.0,2017-12-10 09:29:33,2017-12-10 14:46:45,,,,,,,,,,,,2017-12-10 15:07:50,2017-12-10 15:00:33,False,False,FMC,1308067.0,False,False,200.0,275.889760025,28.1022222222,-80.6411111111,TFM,169.0,2017-12-10 16:42:33,UNSET,2017-12-10 18:13:04,KCLT./.CAE183009..BEENO.J103.OMN.BITHO7.KMLB/1633,,OFF,2017-12-10 18:13:02,PROCEED_TO_SPOT,2017-12-10 15:06:34,ASDEX,RAMP_TAXI_OUT,2017-12-10 10:21:36,2017-12-10 14:38:57,2017-12-10 15:05:42,2017-12-10 15:09:53,2017-12-10 15:13:03,2017-12-10 15:20:52,,,,,,,,,,,False,,2017-12-10 14:38:55,-1659.0,,2017-12-10 14:44:09,314.0,2017-12-10 14:43:08,2017-12-10 15:05:42,,,,,,,,612.0,365.0,-836.0,2017-12-10 14:49:07,2017-12-10 14:46:00,-589.0,-518.0,-702.0,-1064.0,-776.0,-776.0,-836.0,-836.0,589.0,518.0,702.0,1064.0,776.0,776.0,836.0,836.0,CRJ2,E,,,True,True,True,False,899.954999924,373.125,526.829999924,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--NO_PRIORITY_DEPARTURE_TAXI--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--OUT--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,3.0,2017-12-10 14:35:34.826000+00:00,2017-12-10 15:28:27+00:00,2017-12-10 14:59:27.686000+00:00,455.0,36R,"36C,36R",NO_METERING,2017-12-10 14:37:05.149000+00:00,2017-12-10 15:39:08.071000+00:00,2017-12-10 14:59:27.686000+00:00,1096.0,36R,"36C,36R",NO_METERING,4.0,2017-12-10 14:43:14.802000+00:00,2017-12-10 15:26:47+00:00,2017-12-10 15:02:31.686000+00:00,1038.51199985,615.313999891,355.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:44:04.875000+00:00,2017-12-10 15:26:47+00:00,2017-12-10 15:02:31.686000+00:00,988.438999891,615.313999891,355.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:44:04.875000+00:00,2017-12-10 15:26:47+00:00,2017-12-10 15:02:31.686000+00:00,988.438999891,615.313999891,355.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:44:15.037000+00:00,2017-12-10 15:26:47+00:00,2017-12-10 15:02:31.686000+00:00,988.438999891,615.313999891,613.0,36R,36R,TIME_BASED_METERING,44.0077994963,2094.33117803,135.544022449,206.396579638,163.709014126,False,12.2281000018,21.9333333333,9.70523333152
932.0,JIA5285,JIA5285.CLT.ILM.171205.0915.0894.AIRLINE,False,True,10949431.0,JET,N555NN,CRJ9,11000.0,KILM,,,,,,,2017-12-10 15:51:00,6,2017-12-10 15:40:00,6002.0,,,JIA,KCLT,,2017-12-10 15:24:12,LILLS,2017-12-10 14:55:41,,,2017-12-10 15:12:46,36R,2017-12-10 14:48:54,E30,2017-12-10 14:40:00,2017-12-10 14:43:03,13.0,2017-12-10 10:01:40,2017-12-10 14:38:24,2017-12-10 14:46:00,1.0,2017-12-10 10:00:37,2017-12-10 14:47:18,,,,,,,,,,,,2017-12-10 15:01:15,2017-12-10 14:51:12,False,False,AIRLINE,1419556.0,False,False,200.0,339.070618116,34.2702777778,-77.9044444444,TFM,118.0,2017-12-10 15:45:56,UNSET,2017-12-10 17:55:24,KCLT./.SDZ227023..KILM,,OFF,2017-12-10 17:55:01,PROCEED_TO_SPOT,2017-12-10 14:52:13,ASDEX,RAMP_TAXI_OUT,2017-12-10 10:00:39,2017-12-10 14:39:52,2017-12-10 14:51:09,2017-12-10 14:55:41,2017-12-10 14:58:58,2017-12-10 15:12:47,,,,,,,,,,,False,,2017-12-10 14:39:52,-741.0,,2017-12-10 14:38:59,-53.0,2017-12-10 14:39:48,2017-12-10 14:51:09,,,,,,,,244.0,61.0,-534.0,2017-12-10 14:43:03,2017-12-10 14:40:00,-351.0,-351.0,-258.0,-508.0,-534.0,-534.0,-534.0,-534.0,351.0,351.0,258.0,508.0,534.0,534.0,534.0,534.0,CRJ9,E,,,True,True,True,False,110.022000074,0.0,110.022000074,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,1.0,,,,,,,,2017-12-10 14:32:24.803000+00:00,2017-12-10 15:15:21+00:00,2017-12-10 15:00:12.775000+00:00,155.0,36R,"36C,36R",NO_METERING,2.0,2017-12-10 14:43:24.795000+00:00,2017-12-10 15:16:02+00:00,2017-12-10 14:58:02.775000+00:00,217.429999828,239.224999905,196.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:47:04.839000+00:00,2017-12-10 15:20:12+00:00,2017-12-10 15:01:04.554000+00:00,247.385999918,307.445999861,446.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:47:04.839000+00:00,2017-12-10 15:20:12+00:00,2017-12-10 15:01:04.554000+00:00,247.385999918,307.445999861,446.0,36R,36R,TIME_BASED_METERING,2.0,2017-12-10 14:47:14.838000+00:00,2017-12-10 15:20:12+00:00,2017-12-10 15:01:04.554000+00:00,247.385999918,307.445999861,460.0,36R,36R,TIME_BASED_METERING,7.04140800476,128.505696087,21.6875366547,0.915383040619,32.3904768219,False,14.9962500016,23.8666666667,8.87041666508
1400.0,RPA4694,RPA4694.CLT.EYW.171205.0915.0061.AIRLINE,False,True,10500118.0,JET,N113HQ,E170,10000.0,KEYW,,,,,,,2017-12-10 17:22:00,6,2017-12-10 17:15:00,2624.0,,,RPA,KCLT,,2017-12-10 15:41:24,ICONS,2017-12-10 15:15:42,,,2017-12-10 15:29:12,36R,2017-12-10 15:05:22,C9,2017-12-10 14:50:00,2017-12-10 14:49:27,7.0,2017-12-10 10:17:36,2017-12-10 14:41:21,2017-12-10 14:46:00,1.0,2017-12-10 10:17:36,2017-12-10 14:47:15,,,,,,,,,,,,2017-12-10 15:15:59,2017-12-10 15:09:00,False,False,FMC,1412050.0,False,False,10000.0,89.5686346379,24.5561111111,-81.7347222222,TFM,128.0,2017-12-10 17:19:30,UNSET,2017-12-10 18:13:04,KCLT./.RSW171040..KARTR..GIGIH..KEYW,,OFF,2017-12-10 18:13:02,PROCEED_TO_SPOT,2017-12-10 15:07:43,FLIGHTHUB_POSITION,PUSHBACK,2017-12-10 10:21:37,2017-12-10 15:05:23,2017-12-10 15:10:18,2017-12-10 15:15:43,2017-12-10 15:19:00,2017-12-10 15:29:12,,,,,,,,,,,False,,2017-12-10 15:05:23,-140.0,,2017-12-10 14:49:02,-981.0,,2017-12-10 15:10:18,,,,,,,,25.0,58.0,-922.0,2017-12-10 14:49:27,2017-12-10 14:46:00,-955.0,-955.0,-955.0,-915.0,-1162.0,-1162.0,-922.0,-922.0,955.0,955.0,955.0,915.0,1162.0,1162.0,922.0,922.0,E170,E,,,True,True,True,False,990.243999958,32.138999939,958.105000019,GATE_DEPARTURE_UNCERTAIN--GATE_DEPARTURE_PLANNED--GATE_DEPARTURE_READY--NO_PRIORITY_DEPARTURE_TAXI--NOT_SCHEDULED,PUSHBACK_UNCERTAIN--PUSHBACK_PLANNED--PUSHBACK_READY--OUT--TAXI--QUEUE--OFF,1.0,,,,,,,,2017-12-10 14:38:04.847000+00:00,2017-12-10 15:39:03.016000+00:00,2017-12-10 15:02:02.214000+00:00,591.0,36R,"36C,36R",NO_METERING,1.0,2017-12-10 14:38:14.916000+00:00,2017-12-10 15:37:40+00:00,2017-12-10 14:58:02.214000+00:00,2129.87000012,1657.78600001,508.0,36R,"36C,36R",NO_METERING,2017-12-10 14:48:54.861000+00:00,2017-12-10 15:34:56+00:00,2017-12-10 15:01:22.214000+00:00,1205.92499995,1173.78600001,344.0,36R,36R,TIME_BASED_METERING,2017-12-10 14:48:54.861000+00:00,2017-12-10 15:34:56+00:00,2017-12-10 15:01:22.214000+00:00,1205.92499995,1173.78600001,344.0,36R,36R,TIME_BASED_METERING,1.0,2017-12-10 14:49:04.667000+00:00,2017-12-10 15:34:56+00:00,2017-12-10 15:01:22.214000+00:00,1205.92499995,1173.78600001,203.0,36R,36R,TIME_BASED_METERING,63.3756159973,1150.90118651,195.196897272,8.23883007965,292.161589748,False,11.9202333331,23.8333333333,11.9131000002
